round, agent, score
0, AlwaysHoldAgent, 12
0, PerfectionistAgent, -197
0, OneStepLookAheadAgent, 12
0, RiskyAgent, 12
0, CautiousAgent, 12
0, MarkovDecisionProcessAgent, 12
0, MarkovDecisionProcessAgentAdjusted, 12
1, AlwaysHoldAgent, 10
1, PerfectionistAgent, -52
1, OneStepLookAheadAgent, 10
1, RiskyAgent, 10
1, CautiousAgent, 10
1, MarkovDecisionProcessAgent, 16
1, MarkovDecisionProcessAgentAdjusted, 16
2, AlwaysHoldAgent, 8
2, PerfectionistAgent, -42
2, OneStepLookAheadAgent, 11
2, RiskyAgent, 11
2, CautiousAgent, 11
2, MarkovDecisionProcessAgent, 16
2, MarkovDecisionProcessAgentAdjusted, 16
3, AlwaysHoldAgent, 12
3, PerfectionistAgent, -40
3, OneStepLookAheadAgent, 12
3, RiskyAgent, 12
3, CautiousAgent, 12
3, MarkovDecisionProcessAgent, 12
3, MarkovDecisionProcessAgentAdjusted, 12
4, AlwaysHoldAgent, 12
4, PerfectionistAgent, 9
4, OneStepLookAheadAgent, 12
4, RiskyAgent, 12
4, CautiousAgent, 12
4, MarkovDecisionProcessAgent, 12
4, MarkovDecisionProcessAgentAdjusted, 12
5, AlwaysHoldAgent, 13
5, PerfectionistAgent, 16
5, OneStepLookAheadAgent, 13
5, RiskyAgent, 13
5, CautiousAgent, 13
5, MarkovDecisionProcessAgent, 13
5, MarkovDecisionProcessAgentAdjusted, 13
6, AlwaysHoldAgent, 11
6, PerfectionistAgent, -73
6, OneStepLookAheadAgent, 11
6, RiskyAgent, 11
6, CautiousAgent, 11
6, MarkovDecisionProcessAgent, 11
6, MarkovDecisionProcessAgentAdjusted, 11
7, AlwaysHoldAgent, 11
7, PerfectionistAgent, 15
7, OneStepLookAheadAgent, 11
7, RiskyAgent, 11
7, CautiousAgent, 11
7, MarkovDecisionProcessAgent, 14
7, MarkovDecisionProcessAgentAdjusted, 14
8, AlwaysHoldAgent, 10
8, PerfectionistAgent, 14
8, OneStepLookAheadAgent, 12
8, RiskyAgent, 12
8, CautiousAgent, 12
8, MarkovDecisionProcessAgent, 13
8, MarkovDecisionProcessAgentAdjusted, 13
9, AlwaysHoldAgent, 7
9, PerfectionistAgent, 5
9, OneStepLookAheadAgent, 10
9, RiskyAgent, 10
9, CautiousAgent, 10
9, MarkovDecisionProcessAgent, 11
9, MarkovDecisionProcessAgentAdjusted, 11
10, AlwaysHoldAgent, 14
10, PerfectionistAgent, -21
10, OneStepLookAheadAgent, 14
10, RiskyAgent, 14
10, CautiousAgent, 14
10, MarkovDecisionProcessAgent, 14
10, MarkovDecisionProcessAgentAdjusted, 14
11, AlwaysHoldAgent, 9
11, PerfectionistAgent, -32
11, OneStepLookAheadAgent, 12
11, RiskyAgent, 12
11, CautiousAgent, 9
11, MarkovDecisionProcessAgent, 12
11, MarkovDecisionProcessAgentAdjusted, 12
12, AlwaysHoldAgent, 8
12, PerfectionistAgent, -32
12, OneStepLookAheadAgent, 11
12, RiskyAgent, 11
12, CautiousAgent, 11
12, MarkovDecisionProcessAgent, 13
12, MarkovDecisionProcessAgentAdjusted, 13
13, AlwaysHoldAgent, 12
13, PerfectionistAgent, -3
13, OneStepLookAheadAgent, 12
13, RiskyAgent, 12
13, CautiousAgent, 12
13, MarkovDecisionProcessAgent, 12
13, MarkovDecisionProcessAgentAdjusted, 12
14, AlwaysHoldAgent, 9
14, PerfectionistAgent, -48
14, OneStepLookAheadAgent, 10
14, RiskyAgent, 10
14, CautiousAgent, 9
14, MarkovDecisionProcessAgent, 10
14, MarkovDecisionProcessAgentAdjusted, 10
15, AlwaysHoldAgent, 6
15, PerfectionistAgent, -28
15, OneStepLookAheadAgent, 9
15, RiskyAgent, 9
15, CautiousAgent, 9
15, MarkovDecisionProcessAgent, 14
15, MarkovDecisionProcessAgentAdjusted, 14
16, AlwaysHoldAgent, 10
16, PerfectionistAgent, -108
16, OneStepLookAheadAgent, 9
16, RiskyAgent, 9
16, CautiousAgent, 10
16, MarkovDecisionProcessAgent, 17
16, MarkovDecisionProcessAgentAdjusted, 17
17, AlwaysHoldAgent, 6
17, PerfectionistAgent, -13
17, OneStepLookAheadAgent, 10
17, RiskyAgent, 10
17, CautiousAgent, 10
17, MarkovDecisionProcessAgent, 14
17, MarkovDecisionProcessAgentAdjusted, 14
18, AlwaysHoldAgent, 6
18, PerfectionistAgent, 16
18, OneStepLookAheadAgent, 12
18, RiskyAgent, 12
18, CautiousAgent, 10
18, MarkovDecisionProcessAgent, 13
18, MarkovDecisionProcessAgentAdjusted, 13
19, AlwaysHoldAgent, 11
19, PerfectionistAgent, -97
19, OneStepLookAheadAgent, 12
19, RiskyAgent, 12
19, CautiousAgent, 11
19, MarkovDecisionProcessAgent, 11
19, MarkovDecisionProcessAgentAdjusted, 11
20, AlwaysHoldAgent, 13
20, PerfectionistAgent, -19
20, OneStepLookAheadAgent, 13
20, RiskyAgent, 13
20, CautiousAgent, 13
20, MarkovDecisionProcessAgent, 13
20, MarkovDecisionProcessAgentAdjusted, 13
21, AlwaysHoldAgent, 14
21, PerfectionistAgent, 3
21, OneStepLookAheadAgent, 14
21, RiskyAgent, 14
21, CautiousAgent, 14
21, MarkovDecisionProcessAgent, 14
21, MarkovDecisionProcessAgentAdjusted, 14
22, AlwaysHoldAgent, 10
22, PerfectionistAgent, -113
22, OneStepLookAheadAgent, 10
22, RiskyAgent, 10
22, CautiousAgent, 10
22, MarkovDecisionProcessAgent, 12
22, MarkovDecisionProcessAgentAdjusted, 12
23, AlwaysHoldAgent, 7
23, PerfectionistAgent, -55
23, OneStepLookAheadAgent, 14
23, RiskyAgent, 14
23, CautiousAgent, 13
23, MarkovDecisionProcessAgent, 17
23, MarkovDecisionProcessAgentAdjusted, 17
24, AlwaysHoldAgent, 10
24, PerfectionistAgent, -68
24, OneStepLookAheadAgent, 13
24, RiskyAgent, 13
24, CautiousAgent, 13
24, MarkovDecisionProcessAgent, 12
24, MarkovDecisionProcessAgentAdjusted, 12
25, AlwaysHoldAgent, 16
25, PerfectionistAgent, -46
25, OneStepLookAheadAgent, 16
25, RiskyAgent, 16
25, CautiousAgent, 16
25, MarkovDecisionProcessAgent, 16
25, MarkovDecisionProcessAgentAdjusted, 16
26, AlwaysHoldAgent, 7
26, PerfectionistAgent, -183
26, OneStepLookAheadAgent, 9
26, RiskyAgent, 9
26, CautiousAgent, 9
26, MarkovDecisionProcessAgent, 12
26, MarkovDecisionProcessAgentAdjusted, 12
27, AlwaysHoldAgent, 14
27, PerfectionistAgent, 6
27, OneStepLookAheadAgent, 14
27, RiskyAgent, 14
27, CautiousAgent, 14
27, MarkovDecisionProcessAgent, 14
27, MarkovDecisionProcessAgentAdjusted, 14
28, AlwaysHoldAgent, 8
28, PerfectionistAgent, -31
28, OneStepLookAheadAgent, 11
28, RiskyAgent, 11
28, CautiousAgent, 11
28, MarkovDecisionProcessAgent, 16
28, MarkovDecisionProcessAgentAdjusted, 16
29, AlwaysHoldAgent, 12
